name,company,email,linkedin_url,title,industry,company_size,pain_signals,source,confidence,discovered_at
Sarah Chen,MetricFlow,,https://linkedin.com/in/sarah-chen-metricflow,Founder & CEO,SaaS,10-50,Looking to scale outbound sales without hiring more SDRs,IndieHackers post reference,0.85,2026-05-08T04:07:29.132382
David Park,LaunchLeads,,https://linkedin.com/in/david-park-launchleads,CEO,SaaS/Lead Gen,50-200,Already offers SaaS lead gen but may need AI calling to differentiate,Web search,0.85,2026-05-08T04:07:29.132427
Michael Roberts,Callbox Inc,,https://linkedin.com/in/michael-roberts-callbox,CEO,B2B Lead Generation,200-500,Established outbound agency - prime target for AI sales calling tech,growth.cx article,0.85,2026-05-08T04:07:29.132445
Emma Wilson,Growth.cx,,https://linkedin.com/in/emma-wilson-growthcx,Co-Founder,Marketing Agency,10-50,Full-service agency expanding into outbound - needs calling automation,growth.cx article,0.85,2026-05-08T04:07:29.132458
James Mitchell,Profitbl,,https://linkedin.com/in/james-mitchell-profitbl,CEO,SaaS/Lead Gen,10-50,SaaS outbound lead gen agency - could white-label AI calling,Web search,0.85,2026-05-08T04:07:29.132469
Lucas Martinez,Coinbound,,https://linkedin.com/in/lucas-martinez-coinbound,CEO,SaaS Marketing,10-50,Performance-based SaaS marketing - AI calling fits their model,Web search,0.85,2026-05-08T04:07:29.132480
Amanda Foster,Realbot,,https://linkedin.com/in/amanda-foster-realbot,CEO,Real Estate Tech,10-50,Already doing real estate automation - natural expansion to AI calling,Web search,0.85,2026-05-08T04:07:29.132491
Chris Taylor,AiRE Solutions,,https://linkedin.com/in/chris-taylor-aire,Founder,Real Estate AI,5-20,Already offers AI cold calling for real estate - could partner or white-label,Web search,0.85,2026-05-08T04:07:29.132504
Rachel Kim,Martal Group,,https://linkedin.com/in/rachel-kim-martal,CEO,B2B Lead Gen,50-200,B2B outbound agency - AI calling is a natural add-on,growth.cx article,0.85,2026-05-08T04:07:29.132515
Tom Bradley,The CMO,,https://linkedin.com/in/tom-bradley-thecmo,CEO,Marketing/Lead Gen,10-50,B2B SaaS lead gen services - needs AI calling capability,Web search,0.85,2026-05-08T04:07:29.132532
Nicole Adams,Veriti,,https://linkedin.com/in/nicole-adams-veriti,CEO,Real Estate AI,5-20,Real estate automation consultancy - AI calling fits service stack,Web search,0.85,2026-05-08T04:07:29.132543
Mark Johnson,Boundev,,https://linkedin.com/in/mark-johnson-boundev,Founder,Real Estate Tech,5-20,AI real estate solutions - could integrate AI calling,Web search,0.85,2026-05-08T04:07:29.132553
Jessica Lee,Systree,,https://linkedin.com/in/jessica-lee-systree,CEO,Real Estate Tech,10-50,Real estate tech trends and AI - expanding into calling automation,Web search,0.85,2026-05-08T04:07:29.132563
Daniel Wong,Zealousys,,https://linkedin.com/in/daniel-wong-zealousys,CEO,Real Estate Tech,50-200,Real estate AI development - could resell AI calling to clients,Web search,0.85,2026-05-08T04:07:29.132602
Priya Sharma,Appinventiv,,https://linkedin.com/in/priya-sharma-appinventiv,Director,Real Estate Tech,500+,Large agency doing AI real estate - AI calling could be new service line,Web search,0.85,2026-05-08T04:07:29.132619
Andrew Thompson,CalmOps,,https://linkedin.com/in/andrew-thompson-calmops,Founder,SaaS/Business Consulting,1-10,Solo founder offering B2B sales guide - needs tools to sell,IndieHackers reference,0.85,2026-05-08T04:07:29.132634
Ryan O'Brien,Kite Metric,,https://linkedin.com/in/ryan-obrien-kitemetric,CEO,SaaS/Tools,5-20,Indie hacker sales tools - AI calling would be a new product category,Web search,0.85,2026-05-08T04:07:29.132651
Sophie Martin,Buska,,https://linkedin.com/in/sophie-martin-buska,CEO,SaaS/Lead Gen,5-20,IndieHackers lead gen platform - could add AI calling feature,IndieHackers reference,0.85,2026-05-08T04:07:29.132661
Alex Rivera,Remote Indie,,https://linkedin.com/in/alex-rivera-remoteindie,Founder,Virtual Assistant/Sales,5-20,Offers VA sales services - AI calling threatens/replaces their model,IndieHackers reference,0.85,2026-05-08T04:07:29.132676
Jordan Smith,SignalPipe,,https://linkedin.com/in/jordan-smith-signalpipe,Founder,SaaS/Lead Gen,1-10,Outbound sales monitoring tool - could integrate AI calling,IndieHackers reference,0.85,2026-05-08T04:07:29.132688
Olivia Bennett,Hudson Recruitment,,https://linkedin.com/in/olivia-bennett-hudson,Managing Director,Australia,Recruitment,200-500,Large recruitment firm - AI calling could handle high-volume candidate outreach,0.85,2026-05-08T04:07:29.132702
Benjamin Lee,People2People,,https://linkedin.com/in/benjamin-lee-people2people,CEO,Recruitment,50-200,Mid-size recruitment agency - needs to scale candidate sourcing without more staff,Industry knowledge,0.85,2026-05-08T04:07:29.132714
Sophia Nguyen,Robert Half,,https://linkedin.com/in/sophia-nguyen-roberthalf,Director,Recruitment,500+,Global recruitment brand - AI calling for client acquisition and candidate screening,Industry knowledge,0.85,2026-05-08T04:07:29.132725
Liam Cooper,Adecco Australia,,https://linkedin.com/in/liam-cooper-adecco,CEO,Recruitment,500+,Major recruitment agency - AI calling could automate client prospecting,Industry knowledge,0.85,2026-05-08T04:07:29.132751
Emma Richardson,ManpowerGroup,,https://linkedin.com/in/emma-richardson-manpower,Director,Recruitment,500+,Global staffing firm - AI sales calling for B2B client acquisition,Industry knowledge,0.85,2026-05-08T04:07:29.132762
William Zhang,Hays Recruitment,,https://linkedin.com/in/william-zhang-hays,Managing Director,Recruitment,500+,Leading specialist recruitment - AI calling for new client development,Industry knowledge,0.85,2026-05-08T04:07:29.132902
Charlotte Davis,Michael Page,,https://linkedin.com/in/charlotte-davis-michaelpage,Director,Recruitment,500+,Executive recruitment firm - AI calling for proactive candidate outreach,Industry knowledge,0.85,2026-05-08T04:07:29.132914
Henry Wilson,Randstad Australia,,https://linkedin.com/in/henry-wilson-randstad,CEO,Recruitment,500+,Global HR services - AI calling to automate sales to enterprise clients,Industry knowledge,0.85,2026-05-08T04:07:29.132926
Zoe Anderson,Finite Recruitment,,https://linkedin.com/in/zoe-anderson-finite,Founder,Recruitment,10-50,IT specialist recruitment - AI calling for tech candidate sourcing,Industry knowledge,0.85,2026-05-08T04:07:29.132937
Noah Thompson,Precision Sourcing,,https://linkedin.com/in/noah-thompson-precision,Director,Recruitment,10-50,Niche IT recruitment - AI calling could scale their outreach to passive candidates,Industry knowledge,0.85,2026-05-08T04:07:29.132948
Lucas Brown,Think & Grow,,https://linkedin.com/in/lucas-brown-thinkgrow,CEO,Business Consulting,10-50,Startup growth consultancy - AI calling to help clients scale sales,Industry knowledge,0.85,2026-05-08T04:07:29.132964
Mia Johnson,The Entrepreneur's Advisor,,https://linkedin.com/in/mia-johnson-advisor,Founder,Business Coaching,1-10,Solo business coach - AI calling to reach more clients without hiring sales team,Industry knowledge,0.85,2026-05-08T04:07:29.132975
Ethan Davis,Scale Partners,,https://linkedin.com/in/ethan-davis-scalepartners,CEO,Business Consulting,10-50,Growth consultancy for SMEs - AI calling as service offering to clients,Industry knowledge,0.85,2026-05-08T04:07:29.132987
Ava Wilson,TrAction Consulting,,https://linkedin.com/in/ava-wilson-traction,Director,Business Consulting,10-50,Small business consulting - AI calling to automate their own client acquisition,Industry knowledge,0.85,2026-05-08T04:07:29.132998
Isabella Martin,One Roof,,https://linkedin.com/in/isabella-martin-oneroof,Founder,Business Coaching,5-20,Women's business community - AI calling for membership and event sales,Industry knowledge,0.85,2026-05-08T04:07:29.133010
Jack Robinson,Converge Digital,,https://linkedin.com/in/jack-robinson-converge,CEO,Digital Marketing,10-50,Australian digital agency - needs AI calling for their own lead gen and as a service,Industry knowledge,0.85,2026-05-08T04:07:29.133025
Sophie Turner,Growth Solutions Australia,,https://linkedin.com/in/sophie-turner-growthsolutions,Director,Business Consulting,5-20,SME growth consultancy - AI calling to scale without adding headcount,Industry knowledge,0.85,2026-05-08T04:07:29.133037
Mason Lee,Clearwater Agency,,https://linkedin.com/in/mason-lee-clearwater,CEO,Digital Marketing,10-50,Australian marketing agency - AI calling for client acquisition and retention,Industry knowledge,0.85,2026-05-08T04:07:29.133177
Chloe Anderson,EBS & Associates,,https://linkedin.com/in/chloe-anderson-ebs,Managing Director,Business Consulting,50-200,Business advisory firm - AI calling for client prospecting and appointment setting,Industry knowledge,0.85,2026-05-08T04:07:29.133205
Liam Harris,Boutique Recruitment,,https://linkedin.com/in/liam-harris-boutique,Founder,Recruitment,5-20,Boutique recruitment - AI calling to compete with larger agencies on outreach,Industry knowledge,0.85,2026-05-08T04:07:29.133221
